alert-monitor  | [alert-monitor] SoC=40.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=39.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=38.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=37.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=36.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=35.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=34.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=33.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=32.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=31.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=30.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=29.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=28.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=27.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=26.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=25.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=24.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=23.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=22.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=21.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=20.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=19.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=18.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=17.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=16.0%  batteryAlert=False
alert-monitor  | [alert-monitor] SoC=15.0%  batteryAlert=False
alert-monitor  | [alert-monitor] 2026-07-14T01:59:20.063588 SoC=14.0%  batteryAlert transitioned -> True
alert-monitor  | [alert-monitor] SoC=13.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=12.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=10.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=9.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=8.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=8.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=9.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=10.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=11.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=11.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=12.0%  batteryAlert=True
alert-monitor  | [alert-monitor] SoC=13.0%  batteryAlert=True
